label,data
Հեղնար աղբյուր,"Բնակարանը բռնում էր դիմացի ողջ պատը, որ զվարթ֊նարնջագույն աղյուսից էր։ Պտտի կենտրոնում, քառանկյունի խորության մեջ, դուռն էր, դեպի որը բարձրանում էին քարե մի քանի աստիճաններ։ Մուտքի մի կողմում պատն ուներ սպիտակ շրջանակներով երեք սովորական լուսամուտներ, իսկ մյուս կողմում համարյա ողջ պատը բռնել էր մի քառակուսի մեծ լուսամուտ՝ բազմաձև գույնզգույն ապակիներով։"
Հեղնար աղբյուր,"Բակի մյուս պատերն ևս նարնջագույն աղյուսից էին։ Կողքերի պատերի տակ օժանդակ սենյակներն էին՝ նեղ դռներով։ Փողոցի վրայի պատը՝ դարպասի երկու կողմերում, ուներ սրածայր կամարներով երեքական որմնախորշեր՝ սպիտակ սվաղած։ Այդ որմնախորշերում դրված էին տարբերաձև վեց խոշոր սափորներ, որոնց բրոնզն ամբողջովին փորագրված էր արաբական բառերով։"
Հեղնար աղբյուր,"— Սաղ Գյումրին էլ օր ոտի կայնի, անուշ, էլի չպիտի կրնընա գտնի մեր ոիրու տունը,— բացականչեց տղան։— Հեչ մի վախենա։"
Հեղնար աղբյուր,"Թրքուհին փաթաթվեց նրա պարանոցով։ Տղան իր գրկից բաց չթողնելով նրան, քայլեց դեպի բնակարանի դուռը։"
Հեղնար աղբյուր,"Հատակն ամբողջ ծածկված էր գորգերով։ Երեք պատերը, մինչև իրենց բարձրության կեսը, նույնպես ծածկված էին գորգերով։ Իսկ գորգերից մինչն առաստաղ՝ նուրբ մանրանկարներ էին, որոնք տեղ֊տեղ ընդհատվում էին սրածայր կամարաձև որմնախորշերով։ Պարտեզի որմնախորշերի նման, այդտեղ ևս, շարված էին սափորներ, բայց ավելի փոքր, և ոչ միայն բրոնզից, այլև գունազարդ կավից, ճենապակուց, արծաթից։"
Հեղնար աղբյուր,"Առջևի պատն ամբողջովին՝ բազմագույն ապակիներով լուսամուտն էր։ Այնտեղ կային հազար ու մի չափի օղակներ, աստղեր, արևներ, ծաղիկներ՝ բաղկացած մանր ու մեծ ապակիների խայտաբղետ ներդաշնակությունից։ Այնքան բազմագույն էր այդ լուսամուտն իր բազմաձև ապակիներով, որ թվում էր հիանալի մանրանկար, որտեղ վառվող գույները կարծես պայծառ ներկեր լինեին և ոչ թե դրսից թափանցող արևի լույսը։"
Հեղնար աղբյուր,"Առաստաղի չորս անկյուններում կային ուռուցիկ քանդակներ՝ բաղկաղած եռանկյունիներից, որոնք ծածկված էին հայելու կտորներով։ Հայելու նույնպիսի կտորներով էր ծածկված նաև առաստաղի կենտրոնը, որտեղից կախված էր բրոնզե մի մեծ ջահ։"
Հեղնար աղբյուր,"Թե՛ լուսամուտի, թե՛ գորգերի, թե՛ պատերի մանրանկարներն այդ բեկբեկուն հայելիների մեջ անդրադառնում էին գույների ու ձևերի ամենաանհնար կոտրատումներով։"
Հեղնար աղբյուր,"Սենյակի խորքում, գորգերից մեկի վրա թեք ընկած և թևն ասեղնագործ մետաքսե մի բարձի հենած, այդ հայելիներին էր նայում երիտասարդը։ Նրա մոտ, ամոթից շառագունած և ավելի գեղեցկացած, գլխահակ նստել էր թրքուհին։ Վերևից անշարժ կախվել էր ջահը, որի վրա մոմերը չէին վառվել ահա տասը տարի։ Հատակին, կնոջ խոնարհած հայացքի ներքո, փռվել էին գորգի անիմանալի նկարները։"
Հեղնար աղբյուր,"Հանկարծ երիտասարդը նայեց դեպի լուսամուտը և բազմաբղետ լույսն արտացոլվեց նրա աչքերում։ Առանց նայելու կնոջը, նա ձեռքը դրեց նրա ձեռքի վրա և շշնջաց․"
Հեղնար աղբյուր,"— Ես կիստըկեմ այգին տասսը տարվա մեռած տերևներեն, ազիզ, թող ուրախ էղնի մեր սիրու տունը։ Ես կնորոգեմ մարգերն ու նորից ծաղիկներ կցանեմ էնտեղ, ազիզ, թող զվարթ էղնի մեր սիրու տունը։ Ես կնոսըրցնեմ ծառերու ճուղքերն արևի հմար, ազիզ, թող պայծառ էղնի մեր սիրու տունը․․․"
Հեղնար աղբյուր,"— Հարկավոր չէ, ազիզ, չկամեցողը երդիք կելնի, էնտից կնկատե քեզի։ Թող էսպես մնա․․․"
Հեղնար աղբյուր,"— Ես ծառ ու ծաղկի ուստա կկանչեմ, զարդարել կուտամ այգին, ազիզ։ Թող մեր սերը լավ անցնի ու լավի մեջ անցնի․․․"
Հեղնար աղբյուր,"— Հարկավոր չէ, ազիզ։ Առանց էն էլ դուն շատ ես մխսե։ Ընչի՞ հմար։ Ես տասսը տարով քեզնեն վենձ եմ։ Դուն ջաել տղա ես, դուն ընձի շուտ պիտի մտեհան էնես․․․ Էսքանն էլ օր էրիր ընձի հմար՝ էքսանն էլ հերիք է․․․"
Հեղնար աղբյուր,"Երիտասարդը ձեռքով փակեց նրա շրթունքները, որ նա այլևս չշարունակի, ապա գրկեց նրան և նայեց նրա մաքուր֊սպիտակ ճակատին։"
Հեղնար աղբյուր,"— Դուն տասսը երկնքով ընձնեն բանձր ես, անուշ։ Տասսը տերև բացած ծաղիկ ես դուն։ Տասսը գարուն տեսած աղունիկ ես դուն․․․"
Հեղնար աղբյուր,"Թվաց, թե երիտասարդը մեծ տղամարդ էր, իսկ փարթամ ու լիքը կինը փոքրիկ աղջիկ։ Մնալով մի քիչ այդպես գրկախառնված, կինը հանկարծ տագնապով դուրս եկավ տղայի թևերի միջից, ձեռքը դրեց սրտին և մրմնջաց․"
Հեղնար աղբյուր,"— Գեշ բան պիտի էղնի, ազիզ, սիրտս անհանգիստ է։ Մեր սերը երկան տևել չի կրնա։ Կնիկ արարածն էսքան երջանիկ էղնելու իրավունք չունի․․․"
Հեղնար աղբյուր,"— Մի խոսի, մի ըսե․․․"
Հեղնար աղբյուր,"— Դուն պզտիկ ես, դուն չիտես, գեշ բան պիտի էղնի, հոգի․․․"
Հեղնար աղբյուր,"Տղան մռայլվեց։ Նա իր մազերի գանգուրը ետ տարավ ճակատից, նայեց ջահերի հանգած մոմերին և շշնջաց․"
Հեղնար աղբյուր,"— Ընչի՞ մեր սերը հալածված ջեյրանի պես էս տունը մտներ։ Ընչի՞ ամընչեինք մարդոցից ու աշխըրքից։ Ընչի՞, ախր ընչի՞․․․"
Հեղնար աղբյուր,Կնոջ աչքերը թրջվեցին արցունքից։ Տղան շարունակեց․
Հեղնար աղբյուր,"— Աշխարքը կթքե մարդուց բաժնըվող կնկա երեսին։ Աշխարքը կթքե էդ կնկան առնող մարդու երեսին։ Մենք իրավունք չունինք իրար հասնելու, մեր սերը գողութուն է․․․"
Հեղնար աղբյուր,"— Ընչի՞, ախր ընչի՞․․․"
Հեղնար աղբյուր,Քաղաքի հեռուներից հասան եկեղեցիների զանգերի ձայները։ Կինը ցնցվեց․
Հեղնար աղբյուր,"— Գնա, հոգի, գնա։ Հիմի բոլոր տղամարդիկ բազարից տուն կուգան։ Էնոնք չպիտի նկատեն չէ թե էս տնեն քու դուս գալդ, չպիտի տեսնին էս մայլից էրթալդ։ Դուն ձախ կողմի դարտակ փողոցով իջի բոստընները։ Էդ կողմեն քեզի մարդ չի տեսնի․․․"
Հեղնար աղբյուր,"— Կէրթամ, հոգի, կէրթամ․․․"
Հեղնար աղբյուր,"— Չէ, հիմի գնա, ազիզ, ախր ես էլ պիտի էրթամ, ուշ է։"
Հեղնար աղբյուր,"Տղան վեր կացավ, դրեց փափախը։"
Հեղնար աղբյուր,"— Մեկ էլ ե՞բ կուգաս, անուշ,— դիմեց նա կնոջը։"
Հեղնար աղբյուր,— Էլի կիրակի օրը։
Հեղնար աղբյուր,"— Օր ես մեռնի՞մ մինչի կիրակի, անգութ։ Գոնյա ուրբաթ օր։"
Հեղնար աղբյուր,"— Ուրբա՞թ,— ներողամիտ Ժպտաց կինը․— թուրքի կիրակի՞ն։ Բոլոր տղամարդիկ էդ օրը մայլեն կէղնին, բոլոր ապրողներըհ տներեն դուս, փողոցները կէղնին․․․"
Հեղնար աղբյուր,— Գոնե շաբաթ օրը․․․
Հեղնար աղբյուր,"― Չէ, ազիզ,— հառաչեց կինը։— Օր շուտ֊շուտ գամ՝ մեր տնեցիք կնկատեն։ Օր շուտ-շուտ հանդըպինք՝ աշխարքը մեզի շուտ կբաժնե իրարուց․․․ Ես մեննակ կիրակի օրերը տնեն դուս գալու պատճառ ունիմ․․․"
Հեղնար աղբյուր,"Տղան գլխիկոր դուրս ելավ թրքուհու հետ։ Երկու դարպասների մութ միջլանցքում նա համբուրեց կնոջը և ետ քաշեց փողոցի դարպասի փակը։ Թրքուհին գլուխը հանեց դուրս, նայեց աջ ու ձախ։"
Հեղնար աղբյուր,"— Մարդ չկա, ազիզ, գնա․․․"
Հեղնար աղբյուր,"Երիտասարդի գնալուց հետո սպասելով մոտ քառորդ Ժամ, կինը նույնպես դուրս ելավ, մեծ բանալիով կողպեց դարպասը և նույնպես ձախ կողմի անմարդ փողոցով իջավ դեպի բոստանների միջով անցնող ճանապարհը։"
Հեղնար աղբյուր,Նրան ևս ոչ ոք չնկատեց։
Հեղնար աղբյուր,Քաղաքի փողոցներում վերջալույս էր։
Հեղնար աղբյուր,"Դռների մոտ դրված քարերի վրա նստել էին հասակավոր գյումրուհիները և գուլպա էին գործում։ Մատների մեքենայական շարժումներով ճաղերն աշխատեցնելով, նրանք նայում էին անցորդներին կամ պարզապես դեպի փողոցի մի ծայրը։"
Հեղնար աղբյուր,"Այն փողոցները, որոնք ձգված էին հյուսիսից֊հարավ, արդեն գտնվում էին աղջամուղջի մեջ։ Միայն դրանց անկյուններում մայթերը լուսավորվել էին ոսկե եռանկյունիներով, ցույց տալով, որ հատող փողոցները դեռ ողողված էի արևի վերջին լույսով։"
Հեղնար աղբյուր,"Որքա՛ն պայծառ էր երևում արևի վերջին այդ լույսը գրոհող ստվերների մեջ։ Արևմուտքից֊արևելք ձգված փողոցներում որքա՛ն համառ էին կառչել ճիգից կարմրած ճառագայթներն ապակիներին, պատերի կարմիր քարերին և բարդիների գագաթներին․․․"
Հեղնար աղբյուր,"Արևի մեջ նստած գյումրուհիները թվում էին վերջալույսային էակներ, և թվում էր, թե շողերի մարվել-հանգչելու հետ միասին պիտի լուծվեին ու չքանային նաև նրանք՝ դռների մոտի քարերը թողնելով դատարկ․․․"
Հեղնար աղբյուր,"Կանանց ձեռների ջերմությունից տաքացած, ճաղերը շարժվում էին արագ, գուլպաների կարճ փողերը երկարում էին քիչ առ քիչ։ Բայց երբ փողոցով փչում֊անցն ում էր մարմնի համար չզգացվող մի հով՝ ճաղերը սառչում էին կանանց ձեռքերի մեջ և կարծես կարծրանում։"
Հեղնար աղբյուր,"Կանանց կողքերին նստել էին երեխաները՝ խելոք, մտասույզ, վերջալույսի պահից տագնապած։"
Հեղնար աղբյուր,"Գյումրուհիները, ուշադրություններն արդեն դեպի գործվող գուլպան, մինչև մութն ընկնելը վերջացնելու համար, շրթունքների մեքենայական շարժումներով պատմում էին երեխաներին հին պատմություններ, նրանց ավանդում էին հռչակավոր գյումրեցիների կյանքն ու վարքը։"
Հեղնար աղբյուր,"Պատմում էին նրանք մի գյումրեցու մասին, որն իր տունը կառուցելիս հիմքի չորս անկյուններում դրել էր ուրագ, օղի, մատանի և խաչ։ Եվ պատմում էին մի այլ գյումրեցու մասին, որը քառասուն տարի ապրել էր մի մեռած աղջկա սիրով և այդպես էլ մեռել։ Եվ պատմում էին մի գյումրեցու մասին, որն ամբողջ կյանքում շրջել էր իր պատանն ուսին գցած, մտախոհ ու համրաքայլ։ Եվ պատմում էին մի գյումրեցու մասին, որը վաղուց ի վեր պատրաստել էր տվել իր գերեզմանաքարը՝ վրան փորագրել տալով ամեն հարկ եղածը՝ բացի մահվան թվականից։ Եվ պատմում էին մի գյումրեցու մասին, որը եղել էր քաղաքի ամենաբարձր եկեղեցու՝ Կաթուղիկեի վրա խաչն ամրացնողը, որի համար ստացել էր Արդար մականունը։ Եվ պատմում էին մի գյումրեցու մասին, որը բազմաթիվ անգամներ մերձիմահ հիվանդացած, հագնվել էր մի կերպ, դուրս էր եկել տնից և օրորվելով գնացել օղետուն, խմել էր խեղդվելու չափ, վերադարձել էր տուն՝ կրկնակի օրորվելով, և հաջորդ օրն արթնացել էր նորից առողջ։ Եվ պատմում էին մի գյումրեցու մասին, որի եղբայրն աքսորված էր և որը հինգ տարի շարունակ, ամեն երեկո, սեղան էր պատրաստում, վառում էր տան բոլոր լամպերը, գնում էր կայարան՝ նրան դիմավորելու, և վերադառնում էր մենակ։ Եվ պատմում էին մի գյումրեցու մասին, որը եղել էր նշանավոր որմնադիր և ստեղծել էր համատարած հռչակ։ Թագավորը Գյումրի այցելելիս հիացել էր նրա պատերի յուրահատուկ շարվածքով և ցանկացել էր տեսնել նրան։ Բայց երբ գնացել էին նրա ետևից, նա եղել էր սարսափելի հարբած և քնած։ Թագավորը վերադարձել էր, բախտն անցել էր վարպետի մոտով՝ առանց նրան քսվելու․․․"
Հեղնար աղբյուր,"Պատմության մի կետում կանայք նկատում էին շուկայից տուն վերադարձող իրենց ամուսիններին կամ զավակներին և վեր էին կենում։ Երբ տղամարդիկ մոտենում էին և բարի երեկո մաղթում, կանայք հեզ պատասխանում էին բարևին և նրանց ետևից մտնելով ներս՝ դուռը փակում։"
Հեղնար աղբյուր,"Բոստանչին, որի աղբյուրն այժմ հոսում էր անընդհատ ու միշտ, նստել էր փողոցում՝ իր բոստանի դարպասի մոտ և նայում էր անցնող֊դարձող մարդկանց։ Պայծառ կիրակի ցերեկ էր և շատ գյուղացիներ, սայլերով կամ հետիոտն, գալիս֊անցնում էին գյուղերից դեպի քաղաք՝ շուկաները։ Իսկ քաղաքի կողմից գերեզմանոց էին գնում սև հագած կանանց փոքր ու մեծ խմբեր։"
Հեղնար աղբյուր,"Նայում էր բոստանչին նրանց բոլորին, բայց ըստ երևույթին նրան ոչինչ չէր հետ աքրքրում, նրա միտքը ոչինչ չէր զբաղեցնում։"
Հեղնար աղբյուր,"Ինչո՞ւ էր մնացել նա այդտեղ կիրակի օրով։ Ինչո՞ւ չէր գնացել քաղաք, որտեղ իրենց խանութների փակ դռների մոտ հավաքված կամ ղայֆախանաներում նստոտած, զրույց էին անում ծանոթ արհեստավորները։ Նա կարող էր գնալ քաղաքի հյուսիսում գտնվող Ձիթողցոնց Զաբոր կոչվող զբոսավայրը, որտեղ կիրակի օրերը համարյա ողջ քաղաքն էր լինում։ Նա կարող էր գնալ նվիրական Ախուրյանի ափը, որտեղ հովասուն ծառերի տակ խնջույք էին անում իր հասակակից արհեստավորները, և լողանում էին գեղեցիկ կազմվածքով երեխաներ։ Վերջապես նա կարող էր գնալ տուն, որտեղ նրան սպասում էր նրա ընտանիքը։ Բայց նա չէր գնում ոչ մի տեղ, և նրա դեմքը թախծոտ էր։ Ըստ երևույթին նա ծանր մտքեր ուներ և ուզում էր մնալ մենակ։"
Հեղնար աղբյուր,"Քաղաքի կողմից երևաց մահվան թափոր։ Ժողովուրդը, բոստանների զույգ պատերի միջև սեղմված, գալիս էր դանդաղաքայլ և բերում էր մի թանկարժեք դագաղ։ Թափորի առջևից դալիս էին յոթ քահանաներ՝ ոսկեկար դեղին և կարմիր շուրջառներով։ Երկու տիրացուներ բուրվառում էին, շատ այլ տիրացուներ բերում էին խաչվառներ, սրբապատկերներ։"
Հեղնար աղբյուր,"Բոստանչին նայեց թափորի կողմը և փորձեց հիշել, թե ո՛վ պիտի լիներ արդյոք այդ հարուստ մեռելը։ Երբ հիշեց՝ նա արհամարհանքով շարունակեց նստած մնալ և նույնիսկ շափխան չհանեց։ Գլխավոր քահանան, որ մյուս քահանաների հետ միասին սաղմոս էր երգում, բոստանչու մոտով անցնելիս աչքերը բարկացած չռեց նրա վրա և ավելի բարձր երգեց։ Տիրացուն սպառնագին բուրվառեց բոստանչու երեսն ի վար և առաջ անցավ։ Բայց բոստանչին ուշադրություն չդարձրեց նրանց վրա։ Իսկ երբ նրա մոտով անցկացրին դագաղը, նա բարձրաձայն հորանջեց և ասաց՝ «փառք ասսու»՝ ինչպես ասում են հորանջելիս։"
Հեղնար աղբյուր,"Դագաղի ետևից գալիս էին լացող տիկիններ՝ սև վուալներով և մինչև արմունկները հասնող սև ձեռնոցներով, գալիս էին փոդպատավոր պարոններ՝ շլյապաներ դրած։ Նրանց ետևից գալիս էին գործակատարներ և ընդհանրապես հասարակ ժողովուրդ։ Թափորի ետևից գալիս էին մուրացկաններ՝ չդաբաղած կաշվե տոպրակները փոկերով մեջքներից կախած։ Իսկ ամենից վերջում, զույգ-զույգ, գալիս էին բազմաթիվ դատարկ կառքեր։"
Հեղնար աղբյուր,"Երբ մուրացկաններն անցան և կառքերի առաջին զույգը հավասարվեց բոստանչուն, նա վեր կացավ աթոռից և ձայն տվեց մուրացկաններին․"
Հեղնար աղբյուր,"— Մելքոն, Ավետիս, Առաքել հայրիկ․․․"
Հեղնար աղբյուր,Մի ծեր և երկու խեղանդամ ետ նայեցին։
Հեղնար աղբյուր,"— Ձեզի հետ եմ։ Էն ախպորս էլ իմաց տվեք, էն քուրոջս էլ։ Ետ դարցեք էկեք, բան պիտի ըսեմ․․․"
Հեղնար աղբյուր,Մուրացկանները մոտեցան և բարևեցին։
Հեղնար աղբյուր,"— Ամոթ չէ՞, ախպրրտինք, մարդ էլ էդոնց դագաղի ետևեն էրթա՞։"
Հեղնար աղբյուր,"— Ի՞նչ էնենք, Երանոս ախպեր,— արդարացավ երկու աչքով կույր ու ծաղկատար մի երիտասարդ,— ուրախութան օրը մեզի մտեհան կէնեն, ըսինք գոնյա սգի վախտը մտներն ընկնինք․․․"
Հեղնար աղբյուր,"— Հաստատ օր ջաել ես,— ներողամիտ ձպտաց բոստանչին։— Տե, ախպրտինք, էսօր դուք իմ ղոնախս եք։ Մտեք բոստանս, քաղեք՝ ինչ օր սրտներդ կուզե։ Ում տոպրակն օր լիքը լցված չէղավ՝ էնոր դուս չեմ թողնե։"
Հեղնար աղբյուր,"— Ասպած քեզի երկան արև տա, Երանոս որդի,— սկսեց օրհնել ծերը,— ջուխտ ապրիս, մե բարձի ծերենաս․․․"
Հեղնար աղբյուր,Բոստանչին ծանր հառաչեց․
Հեղնար աղբյուր,"— Էդպես մի ըսե, հայրիկ։ Դուն էլ քույրիկ, էդպես մի ըսե։ Դուք ամմենքդ էլ ձեր արդար բերնով մե֊մե բերան ասսուն աղաչեք, օր մուրազս կատարե։ Ուրիշ բան չեմ ուզե։ Տե, մտեք նես․․․"
Հեղնար աղբյուր,"Մուրացկանները մտան բոստան, իսկ Երանոսը մնաց իր տեղում կանգնած, աչքերը գետնին հառած, անորոշ մտածելով։ Փողոցի դեղնավուն փոշու մեջ խորը դրոշմվել էին մարդկանց և ձիերի խառնիխուռն ոտնահետքերը։ Եվ հանկարծ այդ փոշու միջով արագ մոտեցան մի գույգ ոտքեր։ Երանոսը ճանաչեց կանացի կանաչագույն կիսակոշիկները, ցնցվեց և նայեց վերև։"
Հեղնար աղբյուր,Գալիս էր թրքուհին։
Հեղնար աղբյուր,Երանոսը կտրեց նրա առաջը․
Հեղնար աղբյուր,— Բաջի՛․․․
Հեղնար աղբյուր,"Թրքուհին, չադրայով խուլ փաթաթված, կտրուկ կանգ առավ, ապա իսկույն, արագ ու բարկացած շարժումով, առաջ անցավ։ Երանոսը վերադարձավ դեպի պատը և փլվեց աթոռի վրա։"
Հեղնար աղբյուր,Քիչ հետո դարպասի դռնակը բացվեց և մուրացկանները դուրս ելան։
Հեղնար աղբյուր,— Ձեզի չըսի՞ օր տոպրըկներդ լիքը լցնեք․․․
Հեղնար աղբյուր,"— Լավ, Երանոս ախպեր, ըպը նամո՞ւսն ինչ կըսե։ Մենք շնորակալ ենք քեզնեն։ Էսքանն էլ մեզի շատ֊շատ է։ Ասպած թող․․․"
Հեղնար աղբյուր,"— Ես էլ եմ շնորակալ, բարով էրթաք։ Հմը կէրևնա, ասպած վրես շատ է հերսոտե․ զուր տեղը միք օրշնե․․․"
Հեղնար աղբյուր,Մուրացկանները տարակուսած նայեցին նրան և դանդաղաքայլ հեռացան դեպի քաղաք։
Հեղնար աղբյուր,"Շուկայի փողոցներից մեկի փակ խանութների աոջևով լուրջ ու մտասևեռ անցնում էր ուստա Մկրտիչը։ Բարձրահասակ, արխալուղը հագին, նա մահուդե շափխան թեքել էր դեպի ծոծրակը՝ բաց անելով իր լայն ճակատը։ Նա նայում էր հեռու, առջևում ինչ-որ տեղ, և կարծես տեսնում էր մի բան, որը միայն նրան էր տրված տեսնելու, որը չէր տեսնում նրանից բացի ոչ ոք։"
Հեղնար աղբյուր,"Խանութների մոտ հավաքված մարդիկ բառի կեսի վրա ընդհատելով խոսակցությունը, ակնածանքով բարևում էին նրան՝ շափխաներն արագ հանելով, ապա, միայն նրա անցնելուց հետո՝ դանդաղ ծածկելով։ Ուստան պատասխանում էր գլխի աննկատելի շարժումով՝ համարյա չնայելով նրանց։"
Հեղնար աղբյուր,"Ցերեկը մի քիչ էր անց, դեռ շոգ էր և ուստայի լայն ճակատի վրա կային քրտնքի մարգարիտներ։ Նա կանգ առավ, ետ տարավ արխալուղի փեշը, ձեռքը տարավ դեպի գոտին, վերցրեց այնտեղից կախված և իր մի ծայրով համարյա գետնին քսվող մեծ, վառ-կարմիր թաշկինակը՝ սպիտակ պուտերով, սրբեց ճակատը և նորից թաշկինակն իր տեղը կախեց։ Ապա արխալուղի գրպանից հանեց չիբուխն ու թութունի քիսան, թուլացրեց քիսայի ղայթանը, և չիբուխի գլուխը կոխեց թութունի մեջ։"
Հեղնար աղբյուր,"Դիմացի ղայֆախանայից մարդիկ հետևում էին ուստայի շարժումներին։ Նա չիբուխը լիքը լցրեց թութունով, բթամատով սեղմեց-տեղավորեց այն, ապա բարակ ծխափողի ծայրն առավ բերանը։ Անմիջապես ղայֆախանայից դուրս թռավ քսանհինգ տարեկանի չափ մի երիտասարդ և դեռ մյուս մայթի վրա լուցկին վառելով, կտրեց փողոցը, մոտ վազեց ուստային։"
Հեղնար աղբյուր,"Ուստան նրա վրա ուշադրություն չդարձրեց։ Նույն քիսայից հանեց չախմախն ու չախմախաքարը, հանեց խավաթելը, դրեց քարի վրա և պողպատը խփեց քարին։ Թելի ծայրը մխաց, ուստան այն դրեց թութունի վրա և ֆստֆստացնելով, օդը ներս քաշեց։"
Հեղնար աղբյուր,"Թութունը վառվեց։ Նույն վայրկյանին լուցկին այրվեց-վերջացավ երիտասարդի մատների միջև և խանձեց նրա մաշկը։ Նա, առանց ցավն արտահայտելու, կամացուկ վար գցեց այրված լուցկին և շարունակեց մնալ անշարժ կանգնած։"
Հեղնար աղբյուր,"— Ո՞ւմ տղեն ես,— չափազանց խիստ հարցրեց ուստա Մկրտիչը՝ գործն ավարտելուց հետո։"
Հեղնար աղբյուր,— Օսկերիչ Վաղինակի։
Հեղնար աղբյուր,― Վարոս մա՞նչն ես։
Հեղնար աղբյուր,— Հրամանք կէնես։
Հեղնար աղբյուր,— Ի՞նչ կէնեիր ղայֆախանեն։
Հեղնար աղբյուր,Տղան ձայն չհանեց։
Հեղնար աղբյուր,"— Ամոթ է, ամընչե, հորդ հարստութունը կերար, խեղճ մարդն ավուր հացի կարոտ պիտի մեռնի։ Հերիք չէ՞ ղայֆախանեքն ու միկիտընները քաշ գաս։"
Հեղնար աղբյուր,"— Հորեխպայր,— փորձեց արդարանալ Վարոսը,— ես միկիտան ոտք չեմ դրե, իսկ ղայֆախանեն էլ՝ գործով մտա։ Դռան քովը նստած, աչքս ճամբուն, ըսկորս կսպասեի․․․"
Հեղնար աղբյուր,"— Un՛ւս․․․— Եվ ուստան չիբուխը հանեց բերանից։— Սալախանա՛։ Ափսոս էն հերը, օր դուն ունիս։"
Հեղնար աղբյուր,Վարոսը գլուխը կախեց։
Հեղնար աղբյուր,Ղայֆախանայում տիրեց լռություն։
Հեղնար աղբյուր,― Ի՞նչ արեստի ես։
Հեղնար աղբյուր,"— Արեստ չունիմ, հորեխպայր։"
Հեղնար աղբյուր,— Ապրիս։ Օսկերչութունը թևդ կցավցնե՞։
Հեղնար աղբյուր,Վարոսն ամենայն խոնարհությամբ լուռ մնաց։
Հեղնար աղբյուր,"— Քեզի հարկավոր է դամըրչի Բաղդասարի քովը ղրկել, օր օսկըռներդ ջնջխե։ Համ արեստի ղադրը կիմանաս։ Համ փողի․․․ Տե ռադ էղի աշքես, անառակ․․․"
Հեղնար աղբյուր,Եվ ուստան շարունակեց ճանապարհը։
Հեղնար աղբյուր,"Բարկությամբ գլուխը ցնցելու ժամանակ ուստայի չիբուխի արծաթե կափարիչը փակվել էր։ Նա միայն այժմ նկատեց այդ և բաց արեց։ Չիբուխի գլխի մոտից կարճ շղթայիկով կախված ձողիկը պտղուցի մեջ առնելռվ, նա սկսեց խառնել թութունը։ Երբ նորից կրակը բորբոքվեց, ուստան թողեց ձողիկը և թեքվեց դեպի բոստանների մեջտեղով անցնող ճանապարհը։"
Հեղնար աղբյուր,"Որքան որ խուլ ու սեղմված էր բոստանների մեջտեղով անցնող ճանապարհը, այնքան ընդարձակ և լայնահորիզոն էին բոստանները։ Մտնելով դրանցից մեկի դարպասով, մարդ իրեն անմիջապես կզգար այլ աշխարհում, որտեղ չկային դեղին, թանձր փոշի և երկնքի կապույտը սահմանափակող բարձր պատեր։ Բացվում էր բոստանների լայնարձակ տեսարանը, որ փռված էր մինչև հեռու դաշտերը։ Բոստաններն իրարից սահմանագծված էին միայն խոպան հողի նեղ շերտերով, որոնք միաժամանակ իշասայլակների ճանապարհներ էին։ Այդ ճանապարհների երկու եզրերին ցանցառ շարված էին հովասուն ուռիներ և բարձրահասակ բարդիներ։ Ուռիներ և բարդիներ կային նաև բոստանների մեջ՝ այստեղ֊այնտեղ։ Յուրաքանչյուր բոստանի կենտրոնում կանգնած հոլիկն ևս, երեք կողմից շրջապատված էր ծառերով՝ բաց ունենալով միայն ճակատի կողմը։ Հոլիկներից յուրաքանչյուրի ետևում կանգնած էր մի փոքրիկ սայլակ, որի մոտ կապված, արածում էր մի էշ։ Ծառերի զույգ շարքերի միջև, արխով հոսում էր ջուրը և գնում դեպի հարևան բոստանները։"
Հեղնար աղբյուր,"Բոստանների ետևում՝ հեռու, շատ հեռու, սկսվում էր խոպան դաշտը, որտեղ քաղաքի աղբն էր թափվում կույտերով։ Այնտեղ արևի տակ պսպղում էին ապակու մանր կտորներ։ Մի քանի տարի հետո, աղբով պարարտացած հողի վրա, պիտի աճեին նորանոր բոստաններ և ծառեր, իսկ աղբասայլակների ճանապարհն ավելի պիտի երկարեր։"
Հեղնար աղբյուր,"Բոստանների միակ պատերը նշանակված էին գյուղերից դեպի քաղաք տանող ճանապարհը պատնեշելու համար, որպեսզի անցորդները, գլխավորապես գյուղացիները, չմտնեին բոստան։"
Հեղնար աղբյուր,"Այժմ նորից էին անցնում նրանք իրենց սայլերով, վերադառնում էին գյուղ։ Դեռ հազիվ էր կոտրվել կեսօրը, և նրանք, իհարկե, արևով կհասնեին տեղ։"
Հեղնար աղբյուր,"Գյուղացիներից մեկը վար ցատկեց սայլի վրայից, մոտեցավ պատի մեջ շինված մի աղբյուրի, գյուղացու ահագին կումերով շտապ կուլ տվեց ջուրը և գետնագործ շալե չուխայի թևքով սրբելով թաց բեղերը, վազեց հասնելու իր սայլին։"
Հեղնար աղբյուր,"Երբ վերջին սայլն անհետացավ պատերի ոլորի ետևում, քաղաքի կողմից երևաց ուստա Մկրտիչը։ Դեռ հեռվից տեսնելով դատարկ աթոռը Երանոսի դարպասի մոտ, նա վերցրեց, իր հետ տարավ ներս, դրեց պատի տակ և գնաց դեպի հեռու հոլիկը։"
Հեղնար աղբյուր,"— Բարի օր, Երանոս։"
